品牌,型号,CADR 灰尘(m3/h),AHAM认证,最小功率(W),最大功率(W),最小噪音(dB),最大噪音(dB),产地,重量(kg),价格,最大风量,风档,睡眠模式,支持遥控,支持定时,空气质量显示,滤网更新提醒
夏普,IG-A10S,"","",3.3,38.0,14.0,51.0,"",2.5,1679.0,"",3,false,false,false,false,false
夏普,IG-A10SW,"","","","",44.0,34.0,"",2.5,1679.0,"",2,false,false,false,false,false
夏普,IG-BC2S,"","","","","","","",3.4,"","","","","","","",""
夏普,IG-BL20S,"","",5.5,13.0,28.0,42.0,"",5.8,2564.0,270,"",false,false,false,false,false
夏普,IG-DC2Z,"","","","",23.0,29.0,"",2.7,"","","","","","","",""
夏普,KC-BB20,200,false,"",23.0,"",57.0,中国,8.1,2278.0,"","",false,false,false,true,false
夏普,KC-BB30,255,false,"",35.0,"",57.0,中国,9.2,2920.0,"","",false,false,false,true,false
夏普,KC-BB60,405,false,"",56.0,"",62.0,中国,11.0,3499.0,405,"",false,false,false,true,false
夏普,KC-BD20,200,false,"",23.0,"","","",8.1,"",200,"","","","","",""
夏普,KC-BD30,255,false,"",35.0,"","","",9.2,"",255,"","","","","",""
夏普,KC-BD60,402,false,"",68.0,"","","",11.0,"",402,"","","","","",""
夏普,KC-CD20,185,false,"",30.0,"","",中国,8.1,"",180,"",true,"",true,true,false
夏普,KC-CD30,235,false,"",35.0,"","",中国,9.2,"",235,"",true,"",true,true,false
夏普,KC-CD60,401,false,"","","","","",11.0,"",401,"","","","","",""
夏普,KC-GD10,160,false,"",25.0,22.0,49.0,中国,6.1,"",180,"",true,"",true,false,false
夏普,KC-W200SW,190,false,"",25.0,17.0,46.0,中国,8.0,1799.0,200,5,false,false,false,true,false
夏普,KC-W280SW,280,false,"",37.0,17.0,49.0,中国,9.0,2680.0,280,5,false,false,false,true,true
夏普,KC-W380SC,"","","",56.0,"",54.0,"","","",760,4,"","","","",""
夏普,KC-W380SW,375,false,"",56.0,19.0,52.0,中国,11.0,3459.0,380,5,false,false,false,true,false
