image,brand,website,model,room_size,dust_cadr,pollen_cadr,tobacco_smoke_cadr,energy_star,meets_ozone_limits,voltage_frequency,dimensions,weight
http://www.ahamdir.com./place_holder.gif,Honeywell,www.kaz.com,HPA200C,310 sq feet,190,180,200,Yes,Yes,120 V 60 Hz,"",""
http://www.ahamdir.com./place_holder.gif,Honeywell,www.kaz.com,HPA204C,310 sq feet,190,180,200,Yes,Yes,120 V 60 Hz,"",""
http://www.ahamdir.com./place_holder.gif,Honeywell,www.kaz.com,HPA060C,75 sq feet,62,75,48,Yes,Yes,120 V 60 Hz,"",""
http://www.ahamdir.com./place_holder.gif,Honeywell,www.kaz.com,HPA074C,75 sq feet,62,75,48,Yes,Yes,120 V 60 Hz,"",""
http://www.ahamdir.com./place_holder.gif,Honeywell,www.kaz.com,HPA160C,170 sq feet,120,130,110,Yes,Yes,120 V 60 Hz,"",""
http://www.ahamdir.com./place_holder.gif,Honeywell,www.kaz.com,HPA164C,170 sq feet,120,130,110,Yes,Yes,120 V 60 Hz,"",""
http://www.ahamdir.com./place_holder.gif,Honeywell,www.kaz.com,HD010GWM,62 sq feet,35,55,40,No,Yes,120 V 60 Hz,"",""
http://www.ahamdir.com./place_holder.gif,Honeywell,www.kaz.com,HD010RHS,62 sq feet,35,55,40,No,Yes,120 V 60 Hz,"",""
http://www.ahamdir.com./place_holder.gif,Honeywell,www.kaz.com,HD010LHS,62 sq feet,35,55,40,No,Yes,120 V 60 Hz,"",""
http://www.ahamdir.com./place_holder.gif,Honeywell,www.kaz.com,HD010WHS,62 sq feet,35,55,40,No,Yes,120 V 60 Hz,"",""
http://www.ahamdir.com./place_holder.gif,Honeywell,www.kaz.com,HA300BHD,465 sq feet,320,300,300,Yes,Yes,120 V 60 Hz,"",""
http://www.ahamdir.com./place_holder.gif,Honeywell,www.kaz.com,HA202BHD,310 sq feet,190,180,200,Yes,Yes,120 V 60 Hz,"",""
http://www.ahamdir.com./place_holder.gif,Honeywell,www.kaz.com,HD123GHD,170 sq feet,100,132,110,Yes,Yes,120 V 60 Hz,"",""
http://www.ahamdir.com./place_holder.gif,Honeywell,www.kaz.com,HD320BHD,250 sq feet,160,170,161,Yes,Yes,120 V 60 Hz,"",""
http://www.ahamdir.com./place_holder.gif,Honeywell,www.kaz.com,HA106WHD,155 sq feet,106,100,100,Yes,Yes,120 V 60 Hz,"",""
http://www.ahamdir.com./place_holder.gif,Honeywell,www.kaz.com,HFD110WHS,124 sq feet,69,88,80,Yes,Yes,120 V 60 Hz,"",""
http://www.ahamdir.com./place_holder.gif,Honeywell,www.kaz.com,HFD110BHS,124 sq feet,69,88,80,Yes,Yes,120 V 60 Hz,"",""
http://www.ahamdir.com./place_holder.gif,Honeywell,www.kaz.com,HFD010WHS,62 sq feet,35,55,40,No,Yes,120 V 60 Hz,"",""
http://www.ahamdir.com./place_holder.gif,Honeywell,www.kaz.com,HFD010BHS,62 sq feet,35,55,40,No,Yes,120 V 60 Hz,"",""
http://www.ahamdir.com./place_holder.gif,Honeywell,www.kaz.com,HPA250B,310 sq feet,190,180,200,Yes,Yes,120 V 60 Hz,"",""
http://www.ahamdir.com./place_holder.gif,Honeywell,www.kaz.com,HHT270WHD,85 sq feet,68,65,55,Yes,Yes,120 V 60 Hz,"",""
http://www.ahamdir.com./place_holder.gif,Honeywell,www.kaz.com,HHT270W,85 sq feet,68,65,55,Yes,Yes,120 V 60 Hz,"",""
http://www.ahamdir.com./place_holder.gif,Honeywell,www.kaz.com,HHT290WHD,170 sq feet,118,90,110,Yes,Yes,120 V 60 Hz,"",""
http://www.ahamdir.com./place_holder.gif,Honeywell,www.kaz.com,HHT290W,170 sq feet,118,90,110,Yes,Yes,120 V 60 Hz,"",""
http://www.ahamdir.com./place_holder.gif,Vicks,"",V9071,80 sq feet,44,58,53,No,Yes,120 V 60 Hz,"",""
http://www.ahamdir.com./place_holder.gif,Vicks,"",V9071C,80 sq feet,44,58,53,No,Yes,120 V 60 Hz,"",""
http://www.ahamdir.com/aham_cm/dnl/E2.JPG?uuid=UploadedFile.133484&amp;rand=800,Rainbow,"",E2,90 sq feet,61,67,55,No,"",120 V 60 Hz,"",""
http://www.ahamdir.com./place_holder.gif,Sharp,"",FP-A40U,200 sq feet,140,160,129,Yes,Yes,120 V 60 Hz,"",""
http://www.ahamdir.com./place_holder.gif,Sharp,"",FP-P30U,124 sq feet,92,130,80,Yes,Yes,120 V 60 Hz,"",""
